TRIP
DATE 2004-01-02 
DECLINATION     0.00
DATA
-22.495	2.888	10.0
-23.465	2.586	11.0
SHOTS
-22.495	2.888	-23.465	2.586
-23.465	2.586	-23.459	2.754
-23.465	2.586	-23.119	3.760
-23.465	2.586	-23.207	3.390
-23.465	2.586	-23.404	2.878
-23.465	2.586	-23.483	2.556
-20.503	3.564	-22.495	2.888
-22.495	2.888	-22.514	3.840
-22.495	2.888	-22.607	3.788
-22.495	2.888	-22.394	2.571
-22.495	2.888	-22.211	1.101
-22.495	2.888	-22.927	1.209
-22.495	2.888	-23.203	1.234
-22.495	2.888	-23.234	1.505
-22.495	2.888	-22.736	2.399
-18.616	3.697	-20.503	3.564
-20.503	3.564	-20.599	3.825
-20.503	3.564	-20.977	6.531
-20.503	3.564	-21.291	6.376
-20.503	3.564	-21.631	6.716
-20.503	3.564	-21.145	6.024
-20.503	3.564	-21.069	4.842
-20.503	3.564	-20.498	4.355
-20.503	3.564	-19.893	2.777
-20.503	3.564	-19.421	1.770
-20.503	3.564	-18.257	0.109
-20.503	3.564	-18.111	-0.053
-20.503	3.564	-18.234	0.107
-20.503	3.564	-20.123	2.927
-13.405	10.567	-18.616	3.697
-18.616	3.697	-18.464	4.463
-18.616	3.697	-18.331	5.419
-18.616	3.697	-18.086	5.328
-18.616	3.697	-17.692	6.286
-18.616	3.697	-17.399	5.199
-18.616	3.697	-16.817	4.238
-18.616	3.697	-17.201	3.693
-18.616	3.697	-17.075	3.466
-18.616	3.697	-16.655	2.516
-18.616	3.697	-16.854	0.977
-18.616	3.697	-16.972	1.188
-18.616	3.697	-17.599	1.895
-18.616	3.697	-18.182	3.196
-9.721	9.276	-13.405	10.567
-13.405	10.567	-13.280	10.778
-13.405	10.567	-12.162	11.433
-13.405	10.567	-12.547	11.589
-13.405	10.567	-13.289	10.447
-13.405	10.567	-14.072	8.669
-13.405	10.567	-14.820	5.703
-13.405	10.567	-15.656	2.644
-13.405	10.567	-16.070	1.281
-13.405	10.567	-16.016	1.092
-13.405	10.567	-15.994	1.550
-13.405	10.567	-15.437	2.669
-13.405	10.567	-14.671	3.816
-13.405	10.567	-14.263	6.747
-13.405	10.567	-13.246	9.934
-9.017	4.148	-9.721	9.276
-9.721	9.276	-9.890	8.946
-9.721	9.276	-10.826	7.605
-9.721	9.276	-11.776	5.527
-9.721	9.276	-13.360	3.031
-9.721	9.276	-14.330	2.042
-9.721	9.276	-14.460	1.825
-9.721	9.276	-14.239	1.326
-9.721	9.276	-14.120	1.928
-9.721	9.276	-13.180	3.228
-9.721	9.276	-9.806	9.115
-9.721	9.276	-9.494	9.598
